AP,Distanza_m,Misura_n,dBm
AP1,1,1,-34
AP1,1,2,-45
AP1,1,3,-39
AP1,2,1,-38
AP1,2,2,-35
AP1,2,3,-34
AP1,2,4,-37
AP1,3,1,-36
AP1,3,2,-39
AP1,3,3,-36
AP1,3,4,-41
AP1,3,5,-39
AP1,3,6,-42
AP1,4,1,-37
AP1,4,2,-35
AP1,4,3,-38
AP1,4,4,-42
AP1,4,5,-42
AP1,4,6,-45
AP1,4,7,-43
AP1,4,8,-38
AP1,5,1,-47
AP1,5,2,-38
AP1,5,3,-38
AP1,5,4,-43
AP1,5,5,-37
AP1,5,6,-38
AP1,5,7,-40
AP1,5,8,-44
AP1,5,9,-36
AP1,5,10,-43
AP1,6,1,-43
AP1,6,2,-50
AP1,6,3,-41
AP1,6,4,-38
AP1,6,5,-43
AP1,6,6,-40
AP1,6,7,-38
AP1,6,8,-38
AP1,6,9,-38
AP1,6,10,-42
AP1,6,11,-40
AP1,6,12,-37
AP1,7,1,-44
AP1,7,2,-39
AP1,7,3,-44
AP1,7,4,-41
AP1,7,5,-44
AP1,7,6,-42
AP1,7,7,-39
AP1,7,8,-38
AP1,7,9,-41
AP1,7,10,-40
AP1,7,11,-41
AP1,7,12,-41
AP1,7,13,-37
AP1,7,14,-44
AP1,7,15,-41
AP2,1,1,-37
AP2,1,2,-34
AP2,1,3,-39
AP2,2,1,-40
AP2,2,2,-36
AP2,2,3,-31
AP2,2,4,-34
AP2,3,1,-36
AP2,3,2,-39
AP2,3,3,-36
AP2,3,4,-36
AP2,3,5,-39
AP2,3,6,-42
AP2,4,1,-43
AP2,4,2,-46
AP2,4,3,-38
AP2,4,4,-38
AP2,4,5,-38
AP2,4,6,-36
AP2,4,7,-38
AP2,4,8,-40
AP2,5,1,-39
AP2,5,2,-45
AP2,5,3,-44
AP2,5,4,-40
AP2,5,5,-36
AP2,5,6,-35
AP2,5,7,-40
AP2,5,8,-40
AP2,5,9,-42
AP2,5,10,-43
AP2,6,1,-39
AP2,6,2,-42
AP2,6,3,-49
AP2,6,4,-46
AP2,6,5,-39
AP2,6,6,-39
AP2,6,7,-47
AP2,6,8,-42
AP2,6,9,-39
AP2,6,10,-44
AP2,6,11,-41
AP2,6,12,-41
AP2,7,1,-46
AP2,7,2,-46
AP2,7,3,-49
AP2,7,4,-44
AP2,7,5,-52
AP2,7,6,-56
AP2,7,7,-49
AP2,7,8,-39
AP2,7,9,-37
AP2,7,10,-39
AP2,7,11,-37
AP2,7,12,-37
AP2,7,13,-38
AP2,7,14,-38
AP2,7,15,-52
AP3,1,1,-38
AP3,1,2,-36
AP3,1,3,-36
AP3,2,1,-38
AP3,2,2,-38
AP3,2,3,-39
AP3,2,4,-34
AP3,3,1,-38
AP3,3,2,-36
AP3,3,3,-34
AP3,3,4,-38
AP3,3,5,-42
AP3,3,6,-39
AP3,4,1,-36
AP3,4,2,-35
AP3,4,3,-37
AP3,4,4,-43
AP3,4,5,-41
AP3,4,6,-36
AP3,4,7,-40
AP3,4,8,-35
AP3,5,1,-37
AP3,5,2,-39
AP3,5,3,-39
AP3,5,4,-38
AP3,5,5,-43
AP3,5,6,-39
AP3,5,7,-37
AP3,5,8,-39
AP3,5,9,-37
AP3,5,10,-36
AP3,6,1,-44
AP3,6,2,-43
AP3,6,3,-42
AP3,6,4,-41
AP3,6,5,-38
AP3,6,6,-39
AP3,6,7,-41
AP3,6,8,-45
AP3,6,9,-38
AP3,6,10,-38
AP3,6,11,-37
AP3,6,12,-36
AP3,7,1,-39
AP3,7,2,-45
AP3,7,3,-32
AP3,7,4,-41
AP3,7,5,-38
AP3,7,6,-42
AP3,7,7,-42
AP3,7,8,-46
AP3,7,9,-42
AP3,7,10,-40
AP3,7,11,-45
AP3,7,12,-46
AP3,7,13,-45
AP3,7,14,-45
AP3,7,15,-37
AP4,1,1,-36
AP4,1,2,-38
AP4,1,3,-44
AP4,2,1,-38
AP4,2,2,-36
AP4,2,3,-42
AP4,2,4,-36
AP4,3,1,-40
AP4,3,2,-39
AP4,3,3,-36
AP4,3,4,-37
AP4,3,5,-38
AP4,3,6,-39
AP4,4,1,-36
AP4,4,2,-35
AP4,4,3,-39
AP4,4,4,-37
AP4,4,5,-38
AP4,4,6,-42
AP4,4,7,-39
AP4,4,8,-40
AP4,5,1,-34
AP4,5,2,-40
AP4,5,3,-37
AP4,5,4,-41
AP4,5,5,-39
AP4,5,6,-38
AP4,5,7,-38
AP4,5,8,-36
AP4,5,9,-40
AP4,5,10,-38
AP4,6,1,-38
AP4,6,2,-39
AP4,6,3,-35
AP4,6,4,-49
AP4,6,5,-44
AP4,6,6,-38
AP4,6,7,-38
AP4,6,8,-37
AP4,6,9,-40
AP4,6,10,-37
AP4,6,11,-46
AP4,6,12,-42
AP4,7,1,-45
AP4,7,2,-42
AP4,7,3,-42
AP4,7,4,-44
AP4,7,5,-50
AP4,7,6,-42
AP4,7,7,-36
AP4,7,8,-39
AP4,7,9,-41
AP4,7,10,-40
AP4,7,11,-44
AP4,7,12,-42
AP4,7,13,-42
AP4,7,14,-47
AP4,7,15,-46

